outcome,match_method,db_owner,db_claimed_at,db_company_name,db_npi,db_state,db_phone,db_authorized_person,sheet_owner,source_sheet,source_row,sheet_company_name,sheet_npi,sheet_state,sheet_phone,sheet_authorized_person
"Different NPI ? not duplicate (shared contact)","State + phone + authorized person","nora atkins","2026-07-16T14:55:22.62+00:00","ARIEL & SONS PEDORTHICS LLC","1033735600","NY","347-707-8439","NETANEL SHIMONOV","selene","Contract Sent","19","ORTHO PLUS LLC","1952136806","NY","347-707-8439","NETANEL SHIMONOV"
"Different owner ? review","Exact NPI","nora atkins","2026-07-10T17:39:38.864+00:00","ALPHA MEDICAL SUPPLIES PLUS CORP","1871389627","CA","714-516-2222","SIAMAK MALEKI-SHAHROKHI","selene","Temporary Inactive","7","ALPHA MEDICAL SUPPLIES PLUS CORP","1871389627","CA","714-516-2222","SIAMAK MALEKI-SHAHROKHI"
"Different owner ? review","Exact NPI","nora atkins","2026-08-18T15:52:23.506+00:00","RUSH LAB LLC","1144173832","IL","3125204582","WAQAS MIRZA","jimmy","Follow Ups","36","RUSH LAB LLC","1144173832","IL","312-520-4582","WAQAS MIRZA"
"Different owner ? review","Exact NPI","nora atkins","2026-08-19T15:02:40.519+00:00","SHAPIRO Z ENTERPRISE INCORPORATED","1518216126","OH","4404612648","ZINOVIY SHAPIRO","selene","Contract Sent","4","SHAPIRO Z ENTERPRISE INCORPORATED","1518216126","OH","440-461-2648/440-278-0793 mr shapiro number","Zinoviy Eduardovich Shapiro"
"Different owner ? review","Exact NPI","rick nelson","2026-07-14T18:53:43.616+00:00","COASTAL1 MEDICAL EQUIPMENT LLC","1578383584","AL","904-505-0679","ERIC RUFFIN","jimmy","No-Show","37","COASTAL1 MEDICAL EQUIPMENT LLC","1578383584","AL","877-436-8095","ERIC DEWAYNE RUFFIN"
"Different owner ? review","Exact NPI","rick nelson","2026-07-13T15:16:01.671+00:00","AA MEDICAL SUPPLY INC","1053817924","MI","248-432-2620","RICHARD YOUSIF","ben","Contract Sent","2","Aa Medical Supply Inc","1053817924","MI","586-933-6565","Richard Yousif"
"Different owner ? review","Exact NPI","rick nelson","2026-07-15T18:19:17.035+00:00","GLACIER MEDICAL SUPPLY, INC.","1376413278","OK","405-816-6266","CHAD HUFFMYER","jimmy","Temporary Inactive","46","GLACIER MEDICAL SUPPLY, INC.","1376413278","OK","(405) 816-6266","CHAD EMERY HUFFMYER"
"Different owner ? review","Exact NPI","rick nelson","2026-07-13T13:12:09.32+00:00","AXIOM MEDICAL SUPPLIES INC","1710776687","NJ","551-255-6012","AMIT CHAND","selene","Follow Ups","51","AXIOM MEDICAL SUPPLIES INC","1710776687","NJ","718-669-4945","AMIT CHAND"
"Different owner ? review","Exact NPI","rick nelson","2026-07-21T13:11:45.324+00:00","ALLY MEDICAL SUPPLY INC","1528693611","IN","312-493-5657","FIRAS ABOLGAR","selene","Follow Ups","46","ALLY MEDICAL SUPPLY INC","1528693611","IN","312-493-5657","FIRAS ABOLGAR"
"Different owner ? review","Exact NPI","rick nelson","2026-07-20T17:32:04.268+00:00","3M MEDICAL ASSOCIATES","1851124671","OH","618-554-3683","ATTA SHAHID","selene","No-Show","4","3M MEDICAL ASSOCIATES","1851124671","OH","618-554-3683","Atta Shahid/ BOB"
"Same owner ? resolved","Exact NPI","nora atkins","2026-07-27T17:39:46.044+00:00","BANNER MEDICAL EQUIPMENT & SUPPLIES","1679259311","MD","844-850-8500","UCHE OKEKE","nora","Follow Ups","122","BANNER MEDICAL EQUIPMENT & SUPPLIES","1679259311","MD","202-650-9302","UCHE OKEKE"
"Same owner ? resolved","Exact NPI","nora atkins","2026-08-07T16:27:28.073+00:00","86TH STREET COMMUNITY PHARMACY CORP.","1093732513","NY","718-266-2137","ABAID CHEEMA","nora","New Meetings","8","86TH STREET COMMUNITY PHARMACY CORP.","1093732513","NY","(347) 543-3955","ABAID CHEEMA (President)"
"Same owner ? resolved","Exact NPI","nora atkins","2026-08-19T14:24:12.359+00:00","NUA AESTHETICS LLC","1689528770","FL","4075157755","NAYMA LABARCA","nora","New Meetings","17","NUA AESTHETICS LLC","1689528770","FL","(407) 515-7755","NAYMA LABARCA"
"Same owner ? resolved","Exact NPI","nora atkins","2026-08-10T14:58:30.329+00:00","BRICKTOWNE PHARMACY LLC","1578059283","NJ","848-241-9971","KALU NDUKWE","nora","Temporary Inactive","69","BRICKTOWNE PHARMACY LLC","1578059283","NJ","732-604-5576","KALU NDUKWE"
"Same owner ? resolved","Exact NPI","nora atkins","2026-08-12T16:10:13.488+00:00","VIRGINIA ORTHOTICS CENTER, INC.","1609987023","VA","8043587669","TARIF ZAKI","nora","Follow Ups","121","VIRGINIA ORTHOTICS CENTER, INC.","1609987023","VA","804-358-7669","TARIF ZAKI (Owner)
Khadija ZAKI (Office Manager)"
